,2023-09-30,2023-06-30
TaxEffectOfUnusualItems,0.0,0.0
TaxRateForCalcs,0.076,0.173228
NormalizedEBITDA,-115000000.0,152000000.0
TotalUnusualItems,0.0,0.0
TotalUnusualItemsExcludingGoodwill,0.0,0.0
NetIncomeFromContinuingOperationNetMinorityInterest,-110000000.0,105000000.0
ReconciledDepreciation,41000000.0,41000000.0
ReconciledCostOfRevenue,46000000.0,31000000.0
EBITDA,-115000000.0,152000000.0
EBIT,-156000000.0,111000000.0
NetInterestIncome,28000000.0,24000000.0
InterestIncome,28000000.0,24000000.0
NormalizedIncome,-110000000.0,105000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-110000000.0,105000000.0
TotalExpenses,962000000.0,564000000.0
TotalOperatingIncomeAsReported,-156000000.0,111000000.0
DilutedAverageShares,1025312845.0,1026054856.0
BasicAverageShares,1025312845.0,1026054856.0
DilutedEPS,-0.11,0.102334
BasicEPS,-0.11,0.102334
DilutedNIAvailtoComStockholders,-110000000.0,105000000.0
NetIncomeCommonStockholders,-110000000.0,105000000.0
NetIncome,-110000000.0,105000000.0
NetIncomeIncludingNoncontrollingInterests,-110000000.0,105000000.0
NetIncomeContinuousOperations,-110000000.0,105000000.0
TaxProvision,-9000000.0,22000000.0
PretaxIncome,-119000000.0,127000000.0
OtherIncomeExpense,9000000.0,-8000000.0
OtherNonOperatingIncomeExpenses,14000000.0,-1000000.0
SpecialIncomeCharges,0.0,0.0
ImpairmentOfCapitalAssets,,0.0
RestructuringAndMergernAcquisition,0.0,0.0
EarningsFromEquityInterest,-5000000.0,-7000000.0
NetNonOperatingInterestIncomeExpense,28000000.0,24000000.0
InterestIncomeNonOperating,28000000.0,24000000.0
OperatingIncome,-156000000.0,111000000.0
OperatingExpense,916000000.0,533000000.0
ResearchAndDevelopment,626000000.0,337000000.0
SellingGeneralAndAdministration,290000000.0,196000000.0
GrossProfit,760000000.0,644000000.0
CostOfRevenue,46000000.0,31000000.0
TotalRevenue,806000000.0,675000000.0
OperatingRevenue,806000000.0,675000000.0
