,2023-06-30,2023-03-31
TaxEffectOfUnusualItems,-46170000.0,-7826086.956522
TaxRateForCalcs,0.27,0.26087
NormalizedEBITDA,349000000.0,304000000.0
TotalUnusualItems,-171000000.0,-30000000.0
TotalUnusualItemsExcludingGoodwill,-171000000.0,-30000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-26000000.0,66000000.0
ReconciledDepreciation,160000000.0,140000000.0
ReconciledCostOfRevenue,905000000.0,846000000.0
EBITDA,178000000.0,274000000.0
EBIT,18000000.0,134000000.0
NetInterestIncome,-2000000.0,-16000000.0
InterestExpense,33000000.0,42000000.0
InterestIncome,31000000.0,26000000.0
NormalizedIncome,98830000.0,88173913.043478
NetIncomeFromContinuingAndDiscontinuedOperation,-26000000.0,66000000.0
TotalExpenses,1044000000.0,921000000.0
TotalOperatingIncomeAsReported,-12000000.0,107000000.0
DilutedAverageShares,,412500000.0
BasicAverageShares,,412500000.0
DilutedEPS,,0.16
BasicEPS,,0.16
DilutedNIAvailtoComStockholders,-26000000.0,66000000.0
NetIncomeCommonStockholders,-26000000.0,66000000.0
NetIncome,-26000000.0,66000000.0
MinorityInterests,-3000000.0,-2000000.0
NetIncomeIncludingNoncontrollingInterests,-23000000.0,68000000.0
NetIncomeContinuousOperations,-23000000.0,68000000.0
TaxProvision,8000000.0,24000000.0
PretaxIncome,-15000000.0,92000000.0
OtherIncomeExpense,-127000000.0,1000000.0
SpecialIncomeCharges,-126000000.0,0.0
WriteOff,126000000.0,0.0
EarningsFromEquityInterest,44000000.0,31000000.0
GainOnSaleOfSecurity,-45000000.0,-30000000.0
NetNonOperatingInterestIncomeExpense,-2000000.0,-16000000.0
InterestExpenseNonOperating,33000000.0,42000000.0
InterestIncomeNonOperating,31000000.0,26000000.0
OperatingIncome,114000000.0,107000000.0
OperatingExpense,139000000.0,75000000.0
OtherOperatingExpenses,115000000.0,55000000.0
SellingGeneralAndAdministration,24000000.0,20000000.0
GeneralAndAdministrativeExpense,24000000.0,20000000.0
OtherGandA,24000000.0,20000000.0
GrossProfit,253000000.0,182000000.0
CostOfRevenue,905000000.0,846000000.0
TotalRevenue,1158000000.0,1028000000.0
OperatingRevenue,1158000000.0,1028000000.0
