,2023-09-30,2023-06-30,2023-03-31
TaxEffectOfUnusualItems,-340830.0,437430.0,
TaxRateForCalcs,0.21,0.21,
NormalizedEBITDA,13969000.0,-2113000.0,
TotalUnusualItems,-1623000.0,2083000.0,
TotalUnusualItemsExcludingGoodwill,-1623000.0,2083000.0,
NetIncomeFromContinuingOperationNetMinorityInterest,8547000.0,10033000.0,
ReconciledDepreciation,7606000.0,7892000.0,
ReconciledCostOfRevenue,74600000.0,94810000.0,
EBITDA,12346000.0,-30000.0,
EBIT,4740000.0,-7922000.0,
NetInterestIncome,13972000.0,10890000.0,
InterestIncome,13972000.0,10890000.0,
NormalizedIncome,9829170.0,8387430.0,
NetIncomeFromContinuingAndDiscontinuedOperation,8547000.0,10033000.0,
TotalExpenses,143462000.0,166816000.0,
TotalOperatingIncomeAsReported,4740000.0,-7922000.0,
DilutedAverageShares,37584891.0,37584891.0,37584891.0
BasicAverageShares,37584891.0,37584891.0,37584891.0
DilutedEPS,0.23,0.27,0.18
BasicEPS,0.23,0.27,0.18
DilutedNIAvailtoComStockholders,8547000.0,10033000.0,
NetIncomeCommonStockholders,8547000.0,10033000.0,
NetIncome,8547000.0,10033000.0,
NetIncomeIncludingNoncontrollingInterests,8547000.0,10033000.0,
NetIncomeContinuousOperations,8547000.0,10033000.0,
TaxProvision,9108000.0,-4593000.0,
PretaxIncome,17655000.0,5440000.0,
OtherIncomeExpense,-1057000.0,2473000.0,
OtherNonOperatingIncomeExpenses,566000.0,390000.0,
GainOnSaleOfSecurity,-1623000.0,2083000.0,
NetNonOperatingInterestIncomeExpense,13972000.0,10890000.0,
InterestIncomeNonOperating,13972000.0,10890000.0,
OperatingIncome,4740000.0,-7922000.0,
OperatingExpense,68862000.0,72006000.0,
ResearchAndDevelopment,14325000.0,16145000.0,
SellingGeneralAndAdministration,54537000.0,55861000.0,
GrossProfit,73602000.0,64084000.0,
CostOfRevenue,74600000.0,94810000.0,
TotalRevenue,148202000.0,158894000.0,
OperatingRevenue,148202000.0,158894000.0,
